Global #,Type,Pos,Side,Row,Panel,Output,Universe,Local Pixel
1,Vertex N/C,Bot,L,2,12,1,1,-1
2,Vertex N/C,Bot,R,2,12,1,1,-1
3,Vertex N/C,Top,R,1,12,1,1,-1
4,Vertex N/C,Top,L,1,12,1,1,-1
5,Vertex N/C,Bot,L,3,12,1,1,-1
6,Vertex N/C,Bot,R,3,12,1,1,-1
7,Vertex N/C,Top,R,2,11,1,1,-1
8,Vertex N/C,Top,L,2,11,1,1,-1
9,Vertex,Bot,L,4,11,1,1,1
10,Vertex,Bot,R,4,11,1,1,2
11,Vertex,Top,R,3,11,1,1,3
12,Vertex,Top,L,3,11,1,1,4
13,Vertex,Bot,L,5,11,1,1,5
14,Vertex,Bot,R,5,11,1,1,6
15,Vertex,Top,R,4,10,1,1,7
16,Vertex,Top,L,4,10,1,1,8
17,Vertex,Bot,L,6,10,1,1,9
18,Vertex,Bot,R,6,10,1,1,10
19,Vertex,Top,R,5,10,1,1,11
20,Vertex,Top,L,5,10,1,1,12
21,Vertex,Bot,L,7,10,1,1,13
22,Vertex,Bot,R,7,10,1,1,14
23,Vertex,Top,R,6,9,1,1,15
24,Vertex,Top,L,6,9,1,1,16
25,Top,Top,R,7,9,1,1,17
26,Top,Top,R,7,3,1,1,18
27,Vertex,Top,R,6,3,1,1,19
28,Vertex,Top,L,6,3,1,1,20
29,Vertex,Bot,L,7,4,1,1,21
30,Vertex,Bot,R,7,4,1,1,22
31,Vertex,Top,R,5,4,1,1,23
32,Vertex,Top,L,5,4,1,1,24
33,Vertex,Bot,L,6,4,1,1,25
34,Vertex,Bot,R,6,4,1,1,26
35,Vertex,Top,R,4,4,1,1,27
36,Vertex,Top,L,4,4,1,1,28
37,Vertex,Bot,L,5,5,1,1,29
38,Vertex,Bot,R,5,5,1,1,30
39,Vertex,Top,R,3,5,1,1,31
40,Vertex,Top,L,3,5,1,1,32
41,Vertex,Bot,L,4,5,1,1,33
42,Vertex,Bot,R,4,5,1,1,34
43,Vertex,Top,R,2,5,1,1,35
44,Vertex,Top,L,2,5,1,1,36
45,Vertex,Bot,L,3,6,1,1,37
46,Vertex,Bot,R,3,6,1,1,38
47,Vertex,Top,R,1,6,1,1,39
48,Vertex,Top,L,1,6,1,1,40
49,Vertex N/C,Bot,L,2,6,1,1,-1
50,Vertex N/C,Bot,R,2,6,1,1,-1
51,Vertex N/C,Bot,L,2,11,2,2,-1
52,Vertex N/C,Bot,R,2,11,2,2,-1
53,Vertex,Top,R,1,11,2,2,1
54,Vertex,Top,L,1,11,2,2,2
55,Vertex,Bot,L,3,11,2,2,3
56,Vertex,Bot,R,3,11,2,2,4
57,Vertex,Top,R,2,10,2,2,5
58,Vertex,Top,L,2,10,2,2,6
59,Vertex,Bot,L,4,10,2,2,7
60,Vertex,Bot,R,4,10,2,2,8
61,Vertex,Top,R,3,10,2,2,9
62,Vertex,Top,L,3,10,2,2,10
63,Vertex,Bot,L,5,10,2,2,11
64,Vertex,Bot,R,5,10,2,2,12
65,Vertex,Top,R,4,9,2,2,13
66,Vertex,Top,L,4,9,2,2,14
67,Vertex,Bot,L,6,9,2,2,15
68,Vertex,Bot,R,6,9,2,2,16
69,Vertex,Top,R,5,9,2,2,17
70,Vertex,Top,L,5,9,2,2,18
71,Vertex,Bot,L,7,9,2,2,19
72,Vertex,Bot,R,7,9,2,2,20
73,Vertex,Top,R,6,8,2,2,21
74,Vertex,Top,L,6,8,2,2,22
75,Top,Top,R,7,8,2,2,23
76,Top,Top,R,7,2,2,2,24
77,Vertex,Top,R,6,2,2,2,25
78,Vertex,Top,L,6,2,2,2,26
79,Vertex,Bot,L,7,3,2,2,27
80,Vertex,Bot,R,7,3,2,2,28
81,Vertex,Top,R,5,3,2,2,29
82,Vertex,Top,L,5,3,2,2,30
83,Vertex,Bot,L,6,3,2,2,31
84,Vertex,Bot,R,6,3,2,2,32
85,Vertex,Top,R,4,3,2,2,33
86,Vertex,Top,L,4,3,2,2,34
87,Vertex,Bot,L,5,4,2,2,35
88,Vertex,Bot,R,5,4,2,2,36
89,Vertex,Top,R,3,4,2,2,37
90,Vertex,Top,L,3,4,2,2,38
91,Vertex,Bot,L,4,4,2,2,39
92,Vertex,Bot,R,4,4,2,2,40
93,Vertex,Top,R,2,4,2,2,41
94,Vertex,Top,L,2,4,2,2,42
95,Vertex,Bot,L,3,5,2,2,43
96,Vertex,Bot,R,3,5,2,2,44
97,Vertex,Top,R,1,5,2,2,45
98,Vertex,Top,L,1,5,2,2,46
99,Vertex,Bot,L,2,5,2,2,47
100,Vertex,Bot,R,2,5,2,2,48
101,Vertex,Bot,L,2,10,3,3,1
102,Vertex,Bot,R,2,10,3,3,2
103,Vertex,Top,R,1,10,3,3,3
